id_cliente,ano_nascimento,nivel_educacao,estado_civil,salario_anual_dolar,criancas_ate_dez_anos,criancas_mais_dez_anos,data_entrada,resposta_campanha,transacoes(frequencia),ultima_compra,total_compra(monetario),total_vinho,total_frutas,total_carnes,total_peixes,total_doces,total_outros,idade,faixa_etária,total_filhos,media_compras,mediana_compras,recencia,score_frequencia,quintil_frequencia,score_recencia,quintil_recencia,score_monetario,quintil_monetario,classificacao_cliente
5524,1957,Grado o superior,Soltero,58138,0,0,2020-09-04,1,12,2022-07-23,"$1.617,00","$635,00","$88,00","$546,00","$172,00","$88,00","$88,00",67,Idoso,0,"$269,50","$130,00",1357,4,Q4,3,Q1,5,Q5,CLIENTES FIEIS
2174,1954,Grado o superior,Soltero,46344,1,1,2022-03-08,0,3,2022-11-28,"$27,00","$11,00","$1,00","$6,00","$2,00","$1,00","$6,00",70,Idoso,2,"$4,50","$4,00",1229,1,Q1,5,Q1,1,Q1,LEALDADE POTENCIAL
4141,1965,Grado o superior,Unión de hecho,71613,0,0,2021-08-21,0,18,2022-10-09,"$776,00","$426,00","$49,00","$127,00","$111,00","$21,00","$42,00",59,Adulto,0,"$129,33","$80,00",1279,5,Q5,4,Q1,4,Q4,CAMPEÕES
6182,1984,Grado o superior,Unión de hecho,26646,1,0,2022-02-10,0,6,2022-11-19,"$53,00","$11,00","$4,00","$20,00","$10,00","$3,00","$5,00",40,Adulto,1,"$8,83","$7,50",1238,2,Q2,4,Q1,1,Q1,LEALDADE POTENCIAL
5324,1981,Posgrado,Casado,58293,1,0,2022-01-19,0,11,2022-11-09,"$422,00","$173,00","$43,00","$118,00","$46,00","$27,00","$15,00",43,Adulto,1,"$70,33","$44,50",1248,4,Q3,4,Q1,3,Q3,CLIENTES FIEIS
7446,1967,Posgrado,Unión de hecho,62513,0,1,2021-09-09,0,16,2022-10-16,"$716,00","$520,00","$42,00","$98,00","$0,00","$42,00","$14,00",57,Adulto,1,"$119,33","$42,00",1272,5,Q5,4,Q1,4,Q4,CAMPEÕES
965,1971,Grado o superior,Divorciado,55635,0,1,2020-11-13,0,14,2022-10-30,"$590,00","$235,00","$65,00","$164,00","$50,00","$49,00","$27,00",53,Adulto,1,"$98,33","$57,50",1258,4,Q4,4,Q1,3,Q3,CLIENTES FIEIS
6177,1985,Posgrado,Casado,33454,1,0,2021-05-08,0,8,2022-10-30,"$169,00","$76,00","$10,00","$56,00","$3,00","$1,00","$23,00",39,Adulto,1,"$28,17","$16,50",1258,3,Q3,4,Q1,2,Q2,LEALDADE POTENCIAL
4855,1974,Posgrado,Unión de hecho,30351,1,0,2021-06-06,1,5,2022-07-23,"$46,00","$14,00","$0,00","$24,00","$3,00","$3,00","$2,00",50,Adulto,1,"$7,67","$3,00",1357,2,Q1,3,Q1,1,Q1,LEALDADE POTENCIAL
5899,1950,Posgrado,Unión de hecho,5648,1,1,2022-03-13,0,1,2022-03-13,"$49,00","$28,00","$0,00","$6,00","$1,00","$1,00","$13,00",74,Idoso,2,"$8,17","$3,50",1489,1,Q1,1,Q1,1,Q1,HIBERNANDO
