id_transacao,id_cliente,data_transacao,lugar_transacao
553340574,5524,2020-09-04,en línea
655366397,5524,2021-01-10,en línea
435749393,5524,2020-11-01,en línea
804849650,5524,2021-03-27,en línea
613025948,5524,2020-09-15,en línea
490313897,5524,2020-09-16,en línea
230281768,5524,2021-02-20,en línea
224549730,5524,2020-09-26,en línea
278623887,2174,2022-03-08,en línea
417404147,4141,2021-08-21,en línea
853940535,4141,2021-12-13,en línea
269330842,4141,2021-11-14,en línea
585752911,4141,2022-10-09,en línea
766050421,4141,2022-07-05,en línea
598691196,4141,2022-01-31,en línea
391854334,4141,2022-06-16,en línea
734878750,4141,2021-10-25,en línea
638098769,6182,2022-02-10,en línea
632064051,6182,2022-08-12,en línea
554604051,5324,2022-01-19,en línea
420507261,5324,2022-04-12,en línea
157035374,5324,2022-07-13,en línea
884687918,5324,2022-11-09,en línea
457420345,5324,2022-05-26,en línea
559633525,7446,2021-09-09,en línea
734791030,7446,2021-11-11,en línea
834357970,7446,2021-12-04,en línea
828053916,7446,2022-02-08,en línea
367322999,7446,2022-03-22,en línea
845620472,7446,2021-12-12,en línea
244278970,965,2020-11-13,en línea
190607103,965,2022-10-30,en línea
603082113,965,2022-03-26,en línea
153565119,965,2022-08-01,en línea
601407108,965,2021-03-31,en línea
596262540,965,2021-05-29,en línea
112456560,965,2021-03-17,en línea
222039472,6177,2021-05-08,en línea
314094128,6177,2022-10-30,en línea
295229429,6177,2022-03-06,en línea
314077221,6177,2022-05-05,en línea
641112280,4855,2021-06-06,en línea
466519574,4855,2022-07-23,en línea
248369658,4855,2022-03-20,en línea
433154496,5899,2022-03-13,en línea
840085196,1994,2021-11-15,en línea
290677334,387,2020-11-13,en línea
721496773,387,2021-09-05,en línea
658203538,2125,2021-11-15,en línea
510002511,2125,2022-04-03,en línea
104964583,2125,2022-02-03,en línea
374872162,8180,2021-11-15,en línea
598563558,8180,2022-05-15,en línea
642757257,8180,2022-05-03,en línea
281702138,8180,2022-08-15,en línea
454954386,8180,2022-10-18,en línea
846056188,8180,2022-06-08,en línea
300489604,2569,2020-10-10,en línea
644196606,2114,2020-11-24,en línea
114988171,2114,2022-07-19,en línea
494908613,2114,2021-06-16,en línea
561005543,2114,2020-12-30,en línea
757235867,2114,2021-01-16,en línea
735551572,2114,2022-01-01,en línea
349849081,2114,2022-03-01,en línea
241974219,9736,2020-12-24,en línea
263190853,9736,2021-11-11,en línea
585710537,9736,2022-05-06,en línea
653062831,4939,2020-08-31,en línea
388694279,4939,2022-07-15,en línea
529177608,4939,2021-06-06,en línea
259961649,4939,2021-01-23,en línea
286478465,6565,2021-03-28,en línea
517250315,6565,2021-10-02,en línea
809015080,6565,2021-12-04,en línea
445674780,6565,2021-06-11,en línea
756635691,6565,2021-11-18,en línea
436911978,6565,2021-07-03,en línea
686995133,6565,2021-07-11,en línea
720279107,6565,2022-03-31,en línea
845166516,6565,2021-08-21,en línea
332659703,6565,2022-02-08,en línea
158762744,6565,2021-04-16,en línea
446966532,2278,2020-11-03,en línea
608703518,2278,2021-01-08,en línea
270751873,9360,2020-08-08,en línea
517885493,9360,2022-07-30,en línea
432218586,9360,2021-04-27,en línea
437809926,9360,2021-09-21,en línea
797279825,1993,2020-12-23,en línea
454972446,1993,2021-04-11,en línea
427993333,4047,2022-01-11,en línea
535307421,4047,2022-09-18,en línea
431688245,4047,2022-11-25,en línea
439484559,4047,2022-08-30,en línea
405940784,4047,2022-06-04,en línea
850158774,4047,2022-12-24,en línea
814269706,1409,2021-03-18,en línea
142658733,1409,2021-03-28,en línea
400545974,1409,2022-05-02,en línea
803844115,1409,2022-03-28,en línea
448673374,1409,2021-05-05,en línea
773250344,1409,2021-10-22,en línea
212630462,1409,2022-11-30,en línea
471950221,7892,2021-01-02,en línea
187499195,7892,2021-07-09,en línea
336079166,2404,2021-05-27,en línea
784174272,2404,2021-12-13,en línea
634474017,2404,2022-05-23,en línea
241080151,2404,2021-07-01,en línea
586645223,2404,2021-07-20,en línea
399951216,5255,2021-02-20,en línea
284122465,5255,2022-10-27,en línea
346586260,5255,2021-05-31,en línea
243362886,5255,2021-06-26,en línea
241002243,5255,2022-03-29,en línea
782672162,5255,2021-08-10,en línea
216615482,5255,2021-05-15,en línea
232241808,5255,2021-10-05,en línea
409502338,5255,2021-04-06,en línea
281233723,5255,2022-04-25,en línea
493467667,5255,2021-04-02,en línea
577125292,5255,2022-05-25,en línea
164107854,5255,2022-02-02,en línea
271046508,5255,2021-11-27,en línea
367329327,5255,2021-08-29,en línea
211877799,5255,2022-05-18,en línea
349402607,5255,2021-04-16,en línea
207211291,5255,2021-12-06,en línea
773627722,5255,2021-06-12,en línea
479194163,5255,2021-06-16,en línea
